SPHERE	-0.435353	-0.076477	-0.299073	0.027081
SPHERE	0.264889	0.116836	-0.405684	0.024249
SPHERE	-0.086424	-0.038040	0.096683	0.025256
SPHERE	0.059931	-0.281799	0.286965	0.026815
SPHERE	-0.406270	0.438373	-0.023538	0.026136
SPHERE	-0.134695	0.409367	0.396062	0.024935
SPHERE	0.381843	0.357753	-0.293579	0.023764
SPHERE	0.405381	-0.388045	0.303485	0.027173
SPHERE	0.008317	-0.468164	-0.294688	0.027368
SPHERE	0.121262	-0.226432	0.236478	0.024530
SPHERE	0.211403	-0.142473	0.354554	0.023485
SPHERE	0.050151	0.166660	0.435262	0.024521
SPHERE	0.130659	-0.063645	-0.465942	0.025934
SPHERE	-0.128782	0.402035	-0.378689	0.027484
SPHERE	0.286312	-0.198732	-0.298627	0.024436
SPHERE	-0.112996	-0.467039	0.187647	0.026374
SPHERE	-0.461911	0.365451	-0.305816	0.027040
SPHERE	-0.333480	0.403262	0.166559	0.025997
SPHERE	-0.212032	0.045150	-0.326208	0.026959
SPHERE	-0.262181	-0.366352	-0.044784	0.026786
SPHERE	0.043319	-0.036664	0.337614	0.026920
SPHERE	-0.107183	0.431369	-0.308187	0.027123
SPHERE	-0.240638	-0.133091	0.397263	0.024115
SPHERE	-0.125985	0.109497	0.016488	0.025950
SPHERE	0.001744	0.184421	-0.457987	0.024912
SPHERE	0.113247	0.183604	0.019070	0.026042
SPHERE	-0.244588	0.165830	0.211852	0.027064
SPHERE	0.273665	-0.307003	-0.165988	0.025268
SPHERE	0.131087	-0.302272	-0.243790	0.024725
SPHERE	-0.344924	-0.078477	-0.274245	0.023436
SPHERE	0.263970	-0.351865	-0.462556	0.024939
SPHERE	0.233418	0.029090	0.022609	0.023937
SPHERE	-0.261940	0.039709	0.377709	0.024362
SPHERE	-0.250358	-0.078379	0.226607	0.026850
SPHERE	-0.386870	-0.034707	0.418898	0.025320
SPHERE	0.132532	-0.220965	-0.269853	0.027003
SPHERE	-0.049051	-0.039687	-0.187750	0.024492
SPHERE	0.356551	0.014083	0.447494	0.025777
SPHERE	0.136981	0.459705	0.283139	0.026057
SPHERE	0.014757	-0.168687	0.129835	0.024957
SPHERE	0.344952	0.031931	0.079835	0.026417
SPHERE	0.429470	-0.167874	0.072847	0.023748
SPHERE	0.273691	0.016889	0.404159	0.023514
SPHERE	0.269870	-0.343015	0.194988	0.025114
SPHERE	0.092393	-0.468201	0.303592	0.024302
SPHERE	0.021579	0.276197	-0.354308	0.025304
SPHERE	0.262640	0.405061	0.054173	0.024030
SPHERE	-0.239664	-0.291391	-0.445398	0.024548
SPHERE	0.216457	0.110378	-0.274495	0.023801
SPHERE	0.416648	0.273184	0.209949	0.026159
SPHERE	-0.183783	0.137965	-0.327624	0.026362
SPHERE	0.270999	0.342397	-0.168898	0.023709
SPHERE	0.349012	-0.340348	0.336970	0.024923
SPHERE	0.411116	0.457420	0.054432	0.024959
SPHERE	0.385570	-0.365519	-0.473670	0.026286
SPHERE	-0.183018	-0.445886	-0.221747	0.023979
SPHERE	0.140619	-0.020139	0.203188	0.023479
SPHERE	-0.220859	-0.061895	-0.176369	0.025780
SPHERE	-0.398030	-0.030179	0.154853	0.025721
SPHERE	-0.163088	0.459766	-0.239866	0.026937
SPHERE	-0.354281	-0.379614	0.080893	0.024146
SPHERE	-0.397733	-0.340837	0.256382	0.023585
SPHERE	-0.230140	0.254343	-0.336009	0.027456
SPHERE	0.285324	-0.083905	0.094190	0.025684
SPHERE	0.370742	-0.178058	-0.441070	0.025201
SPHERE	0.235369	-0.143220	0.219609	0.023990
SPHERE	0.300727	-0.100390	0.182177	0.026782
SPHERE	-0.114374	0.417947	-0.152034	0.023939
SPHERE	-0.436505	0.403671	0.064611	0.025448
SPHERE	-0.411772	-0.155083	-0.369301	0.023844
SPHERE	-0.374291	-0.231314	0.369176	0.024684
SPHERE	0.159102	-0.011691	-0.136789	0.027113
SPHERE	0.044929	0.228110	-0.050398	0.025661
SPHERE	0.055300	0.323835	-0.411001	0.024896
SPHERE	-0.264649	-0.467647	-0.432149	0.026265
SPHERE	-0.429572	0.444466	-0.192890	0.026368
SPHERE	-0.440914	0.127103	-0.208108	0.024038
SPHERE	0.227882	0.036165	-0.238283	0.024837
SPHERE	-0.278430	0.224568	-0.471877	0.026029
SPHERE	0.035066	-0.101233	-0.017875	0.026521
SPHERE	-0.349093	0.407726	-0.038710	0.023685
SPHERE	0.254711	0.025420	-0.099195	0.026216
SPHERE	0.031427	-0.057454	0.205820	0.027456
SPHERE	-0.086867	-0.460830	0.236122	0.025749
SPHERE	0.140233	-0.446015	0.290726	0.025188
SPHERE	0.064968	-0.422406	-0.442457	0.024948
SPHERE	0.276783	-0.438863	0.037481	0.026561
SPHERE	-0.066909	-0.455610	-0.082006	0.024706
SPHERE	0.425663	0.353934	-0.232506	0.025680
SPHERE	-0.094808	0.142314	0.196098	0.026323
SPHERE	-0.388218	-0.071131	0.012237	0.027222
SPHERE	-0.057973	-0.226017	0.420566	0.025408
SPHERE	-0.197946	0.237419	-0.024708	0.023694
SPHERE	0.288239	0.007919	0.127965	0.026919
SPHERE	0.042567	-0.308378	0.404279	0.025821
SPHERE	-0.287781	-0.151210	0.035597	0.027394
SPHERE	-0.273145	0.278561	0.344442	0.023934
SPHERE	-0.054249	0.065194	0.043829	0.025888
